cid,shop,品牌,标题,内容,评分,评级,标签,标签个数,日期
51af9f790cf2c54150a3e898,TMALL,可瑞康,,不错,5,好评,品牌口碑,1,2013-05-01 11:39:11,
5188799c81856da1e622a579,TMALL,可瑞康,,还没吃，希望孩子喜欢，断奶中，,5,好评,其他,1,2013-05-01 11:39:33,
51888ba481856da1e622b71f,TMALL,可瑞康,,和全进口的还是有一些区别的,4,好评,其他,1,2013-05-01 11:49:53,
5188799c81856da1e622a578,TMALL,可瑞康,,一直在这里买，东西不错速度有快,5,好评,品牌口碑,1,2013-05-01 11:52:58,
51a749b30cf2ca7bf3ebe4fd,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 11:54:31,
5188748181856da1e6227a8d,TMALL,可瑞康,,一如既往的好,5,好评,品牌口碑,1,2013-05-01 12:04:40,
518873ca81856da1e622743f,TMALL,可瑞康,,奶粉质量不错，送的衣服也很好奥，希望店家多搞些活动，还有有优惠记得通知我们老客户,5,好评,品牌口碑/价格,2,2013-05-01 12:12:21,
51afc3de81856da1e6267b72,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 12:13:14,
51888ba481856da1e622b71e,TMALL,可瑞康,,挺不错的 好,5,好评,品牌口碑,1,2013-05-01 12:14:00,
5188796581856da1e622a2b3,TMALL,可瑞康,,囤货中，应该很不错，包装比上次好看,5,好评,品牌口碑,1,2013-05-01 12:22:28,
5188799c81856da1e622a577,TMALL,可瑞康,,是正品,5,好评,品牌问题,1,2013-05-01 12:24:48,
5188799c81856da1e622a576,TMALL,可瑞康,,很好,5,好评,品牌口碑,1,2013-05-01 12:27:23,
5188748181856da1e6227a8c,TMALL,可瑞康,,还行吧，宝宝一直吃这里的奶粉的。,5,好评,品牌口碑,1,2013-05-01 12:33:38,
51af9f790cf2c54150a3e897,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 12:34:42,
5188796581856da1e622a2b0,TMALL,可瑞康,,奶粉还没给孩子喝上呢，不过感谢卖家给我们的小读物，先尝试一下，如果孩子认为奶粉不错，我们会一如既往的支持的！！,5,好评,品牌口碑,1,2013-05-01 12:38:04,
5188748181856da1e6227a8b,TMALL,可瑞康,,很不错,5,好评,品牌口碑,1,2013-05-01 12:40:20,
5188796681856da1e622a2d1,TMALL,可瑞康,,不多说  给力,5,好评,品牌口碑,1,2013-05-01 12:47:43,
51888ba481856da1e622b71d,TMALL,可瑞康,,已经第二次购买，中国区授权产品，比其他网络代购更可信可靠！,5,好评,其他,1,2013-05-01 12:50:45,
5188752f81856da1e6228100,TMALL,可瑞康,,换蓝标了，还没吃\n运费好贵、、赠品什么也没有\n这么多人支持商家应该回馈下大家的,5,好评,品牌口碑/价格,2,2013-05-01 12:51:22,
5188799c81856da1e622a575,TMALL,可瑞康,,老买家了，还会来,5,好评,其他,1,2013-05-01 12:56:02,
51af9f790cf2c54150a3e896,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 12:57:22,
51af9f790cf2c54150a3e895,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 13:12:46,
5188796581856da1e622a2cf,TMALL,可瑞康,,因为现在喝的是母乳，奶粉宝宝还没开始吃，看评价都不错，希望宝宝喜欢喝，如果宝宝吃的习惯的话会一直购买。。 客服的服务态度都很好，也很耐心。。,5,好评,品牌口碑,1,2013-05-01 13:17:07,
5188799c81856da1e622a574,TMALL,可瑞康,, 及时到货 很好,4,好评,品牌口碑,1,2013-05-01 13:23:46,
5188796581856da1e622a2ce,TMALL,可瑞康,,好。,5,好评,其他,1,2013-05-01 13:28:32,
5188799c81856da1e622a573,TMALL,可瑞康,,                            使用中，期待效果......,4,好评,其他,1,2013-05-01 13:28:55,
5188799c81856da1e622a572,TMALL,可瑞康,,正品来的，价格和京东一样是210元，不过这里要收25元的快递费，没有优势！还是京东实在！,5,好评,品牌问题,1,2013-05-01 13:31:31,
5188742081856da1e62277a3,TMALL,可瑞康,,老顾客老价格,5,好评,其他,1,2013-05-01 13:35:57,
51af9f790cf2c54150a3e894,TMALL,可瑞康,,老顾客老价格,5,好评,其他,1,2013-05-01 13:35:57,
5188742081856da1e62277a2,TMALL,可瑞康,,                            很好,5,好评,品牌口碑,1,2013-05-01 13:37:42,
51af9f790cf2c54150a3e893,TMALL,可瑞康,,                            很好,5,好评,品牌口碑,1,2013-05-01 13:37:42,
5188796581856da1e622a2cd,TMALL,可瑞康,,和以前买的对比没任何差别，宝宝也一样爱吃。下次打算买一箱，不知道运费能优惠点吗，呵呵。,5,好评,其他,1,2013-05-01 13:37:58,
51888ba481856da1e622b71c,TMALL,可瑞康,,不是太容易溶解 其他还好,5,好评,其他,1,2013-05-01 13:38:01,
51afc3de81856da1e6267b71,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 13:38:10,
5188742081856da1e62277a1,TMALL,可瑞康,,很好，发货很快，奶粉虽然没有去验证，感觉还可以的，最近比较忙没来确认不好意思了，喝完还会再来的,5,好评,品牌口碑,1,2013-05-01 13:49:36,
51af9f790cf2c54150a3e892,TMALL,可瑞康,,很好，发货很快，奶粉虽然没有去验证，感觉还可以的，最近比较忙没来确认不好意思了，喝完还会再来的,5,好评,品牌口碑,1,2013-05-01 13:49:36,
5188748181856da1e6227a8a,TMALL,可瑞康,,外甥一直喝的就是这个奶粉,5,好评,品牌口碑,1,2013-05-01 13:57:13,
5188799c81856da1e622a571,TMALL,可瑞康,,好。。,5,好评,其他,1,2013-05-01 13:59:31,
5188799c81856da1e622a570,TMALL,可瑞康,,好,5,好评,其他,1,2013-05-01 14:01:31,
51888ba481856da1e622b71b,TMALL,可瑞康,,           挺好的，就是我宝宝可能喝了有点上火，头上出一粒一粒的小包                 ,5,好评,产品口味,1,2013-05-01 14:07:03,
5188742081856da1e62277a0,TMALL,可瑞康,,好,5,好评,其他,1,2013-05-01 14:09:41,
51af9f790cf2c54150a3e891,TMALL,可瑞康,,好,5,好评,其他,1,2013-05-01 14:09:41,
5188748181856da1e6227a89,TMALL,可瑞康,,正好赶上放假了，没能给送达镇里，事先也没说转单的事，就让同事给取的，希望不再出现这样的事,5,好评,其他,1,2013-05-01 14:14:06,
5188799c81856da1e622a56f,TMALL,可瑞康,,奶粉味太难闻 而且每次冲泡 都有一坨坨跟饭团样的粉团你怎么摇晃都不会化  真够坑的 ,2,中评,其他,1,2013-05-01 14:15:40,
51888ba481856da1e622b71a,TMALL,可瑞康,,非常好,5,好评,品牌口碑,1,2013-05-01 14:16:09,
51a749b30cf2ca7bf3ebe4fc,TMALL,可瑞康,,一直在这家买，但服务态度真的很不满意。上次的赠品经协商后说是补发，补发的衣衣还少了一套，到现在我也没收到，要是商家没有诚信就不要搞活动，省的给消费者一种被忽悠的感觉。 服务没有跟的上销售，让客户很有意见。之前搞活动说要送内衣，因为商家说拍对了才送，我拍了三组，跟客服一再确认我拍的对不对。半天也不回复我，后来经协商给我补发，但差我的一套现在还没收到，真的太无语了！,5,好评,品牌口碑/品牌问题/价格,3,2013-05-01 14:26:20,
5188796581856da1e622a2ca,TMALL,可瑞康,,全五分，一如既往的好！,5,好评,品牌口碑,1,2013-05-01 14:35:32,
51888ba481856da1e622b719,TMALL,可瑞康,,宝宝很爱喝，跟以往的一样。但我个人感觉，新配方的没原来的好溶解了，每次喝完后奶瓶底都有一层粘糊糊的东西，不知道是怎么回事？？？？,5,好评,品牌口碑,1,2013-05-01 14:36:11,
51888ba381856da1e622b718,TMALL,可瑞康,,我留言发EMS最后给我发的韵达，你们说可以转单还是没有给我转，快递让我自己去取好麻烦。你们说话咋一点都不诚信呢？,3,中评,其他,1,2013-05-01 14:37:38,
51888ba381856da1e622b717,TMALL,可瑞康,, 很好，第二次买了。还会来。,5,好评,品牌口碑,1,2013-05-01 14:43:03,
5188799c81856da1e622a56e,TMALL,可瑞康,,断奶期，宝宝已经浪费了一罐了，希望这一罐能让她喜欢上喝奶粉。,5,好评,其他,1,2013-05-01 14:50:15,
5188796581856da1e622a2c8,TMALL,可瑞康,,宝宝一直吃，喜欢,5,好评,品牌口碑,1,2013-05-01 14:53:14,
51afc3de81856da1e6267b70,TMALL,可瑞康,,此用户没有填写评论!,3,中评,其他,1,2013-05-01 14:54:44,
5188748181856da1e6227a88,TMALL,可瑞康,,海淘过，也在这家店买过，各有优点。海淘的价格更优惠，天猫店发货快！\n这次刚刚下手，一次性买了两箱。然后就在宝宝树上看到推荐1号店，发现1号店的与这家奶粉价格一样，额外还送贝亲的宝宝洗护用品。。。\n好在都号称是官方渠道，只要确保品质，没优惠也罢了～～ 服务还是可以，包装也挺好，没有瘪罐之类。就是快递恼火，给他说了家里有人，还是给扔在物管，物管也不帮忙看管，后来我家人去找了好久，好在没被人给拿走。。,4,好评,物流/品牌口碑/价格,3,2013-05-01 14:57:25,
518874fb81856da1e6227e97,TMALL,可瑞康,,一直忘了确认，东西还是一如既往的好！,5,好评,品牌口碑,1,2013-05-01 14:57:36,
5188799c81856da1e622a56d,TMALL,可瑞康,,已经不是第一次买了。一如既往的好，希望下次能给老客户些优惠。,5,好评,品牌口碑,1,2013-05-01 15:03:19,
5188799c81856da1e622a56c,TMALL,可瑞康,,不知道好不好，因为从没有用过这，但是有这么多人买，相信群众的眼光了,5,好评,品牌口碑,1,2013-05-01 15:04:40,
51888ba381856da1e622b716,TMALL,可瑞康,,还没吃。吃了再追加。,5,好评,其他,1,2013-05-01 15:07:07,
5188742081856da1e622779f,TMALL,可瑞康,,第三次购买，依然物流很给力，包装很正规，这次是2013年1月生产的，新配方，稍后再继续补充评价,5,好评,品牌口碑,1,2013-05-01 15:10:16,
51af9f790cf2c54150a3e890,TMALL,可瑞康,,第三次购买，依然物流很给力，包装很正规，这次是2013年1月生产的，新配方，稍后再继续补充评价,5,好评,品牌口碑,1,2013-05-01 15:10:16,
51888ba381856da1e622b715,TMALL,可瑞康,,bucuola,4,好评,其他,1,2013-05-01 15:12:12,
51888ba381856da1e622b714,TMALL,可瑞康,,谢谢亲，这么急时的给我好货,5,好评,物流,1,2013-05-01 15:14:38,
51888ba381856da1e622b713,TMALL,可瑞康,,很好很好很好,5,好评,品牌口碑,1,2013-05-01 15:21:57,
5188799c81856da1e622a56b,TMALL,可瑞康,,好！！,5,好评,其他,1,2013-05-01 15:24:42,
51888ba381856da1e622b712,TMALL,可瑞康,,包装好，发货快,5,好评,物流,1,2013-05-01 15:34:22,
51888ba381856da1e622b711,TMALL,可瑞康,,很好,5,好评,品牌口碑,1,2013-05-01 15:38:57,
5188742081856da1e622779e,TMALL,可瑞康,,参加活动时说有确认收货七天内发放100元优惠券，结果一直没有发放。再等两天，如果还没有发放，坚决投诉,1,差评,品牌口碑/价格,2,2013-05-01 15:46:32,
51af9f790cf2c54150a3e88f,TMALL,可瑞康,,参加活动时说有确认收货七天内发放100元优惠券，结果一直没有发放。再等两天，如果还没有发放，坚决投诉,1,差评,品牌口碑/价格,2,2013-05-01 15:46:32,
5188752f81856da1e62280fe,TMALL,可瑞康,,一如既往,5,好评,品牌口碑,1,2013-05-01 15:51:02,
5188752f81856da1e62280fc,TMALL,可瑞康,,还好  一直在喝,5,好评,品牌口碑,1,2013-05-01 15:51:39,
5188796581856da1e622a2c6,TMALL,可瑞康,,朋友介绍的这个奶粉，宝宝喝起来一切都好，卖家发货很快，全五分！,5,好评,品牌口碑,1,2013-05-01 15:53:49,
5188796581856da1e622a2c4,TMALL,可瑞康,,物流敢给点力吗,5,好评,其他,1,2013-05-01 15:58:04,
51888ba381856da1e622b710,TMALL,可瑞康,,不好意思，出差确认晚了。奶粉很好，宝宝很喜欢！,5,好评,品牌口碑,1,2013-05-01 16:05:45,
5188796581856da1e622a2c3,TMALL,可瑞康,,服务态度非常好，我家宝贝的口粮一直在这买的，就是怎么都没小玩具送噢！,5,好评,品牌口碑,1,2013-05-01 16:25:35,
51888ba381856da1e622b70f,TMALL,可瑞康,,已经喝了大半年了，宝宝一直都挺爱喝的！包装也没让我失望过！谢谢！,5,好评,品牌口碑,1,2013-05-01 16:28:57,
5188742081856da1e622779d,TMALL,可瑞康,,一直给孩子吃这款奶粉，很好吸收的，一直也比较安全，没见过什么负面新闻。还会光顾的。,5,好评,品牌口碑/品牌问题,2,2013-05-01 16:29:54,
5188741f81856da1e622779c,TMALL,可瑞康,,宝贝出生一直喝这个，宝贝非常喜欢，信赖可瑞康的品质。,5,好评,品牌口碑,1,2013-05-01 16:31:50,
51a749b30cf2ca7bf3ebe4fb,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 16:33:23,
5188741f81856da1e622779b,TMALL,可瑞康,,很好的，。,5,好评,品牌口碑,1,2013-05-01 16:33:56,
51888ba381856da1e622b70e,TMALL,可瑞康,,不错,5,好评,品牌口碑,1,2013-05-01 16:37:55,
5188796581856da1e622a2c1,TMALL,可瑞康,,囤货中，就等儿子出生了，希望是正品！,4,好评,品牌口碑/品牌问题,2,2013-05-01 16:44:43,
51888ba381856da1e622b70d,TMALL,可瑞康,,还没吃，希望是正品,5,好评,品牌问题,1,2013-05-01 16:45:23,
518873c981856da1e622743e,TMALL,可瑞康,,不错，宝宝还吃,4,好评,品牌口碑,1,2013-05-01 16:46:21,
5188741f81856da1e622779a,TMALL,可瑞康,,很满意！很好！希望不要出现可瑞康的负面消息！,5,好评,品牌口碑,1,2013-05-01 16:52:10,
5188741f81856da1e6227799,TMALL,可瑞康,,                      EMs      物流太垃圾,5,好评,其他,1,2013-05-01 16:52:37,
5188796581856da1e622a2bf,TMALL,可瑞康,,下次再来。。就是每次没有小礼物。。,5,好评,其他,1,2013-05-01 16:55:35,
5188799d81856da1e622a592,TMALL,可瑞康,,奶粉比较黄 以前吃1段一直是这个牌子 后来看新闻说新西兰奶粉出问题 2段就换其它牌子了 宝宝不爱喝 又买回这个试试,5,好评,品牌口碑,1,2013-05-01 16:57:58,
5188796581856da1e622a2bd,TMALL,可瑞康,,孩子还没生出来，为了奶粉的选择都头疼死了。就生半个月要生了，做产检的时候护士问起我准备奶粉了没，我一直没打算买，就想着一定要坚持母乳，不能半途而废。但护士提醒我生产后不会马上就下奶，还得准备一袋奶粉才行。上网查了好多品牌，实在不敢去超市买国产的，最后发现可瑞康的销量非常大，决定试试。希望宝宝吃了能喜欢，如果好的话，就让他吃这个牌子了。断奶后宝宝还是要吃很长时间的奶粉。,5,好评,品牌口碑,1,2013-05-01 17:08:24,
51afa06781856da1e6267a76,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 17:13:14,
51888b9e81856da1e622b70c,TMALL,可瑞康,,老顾客 囤货中,5,好评,品牌口碑,1,2013-05-01 17:18:00,
51afc3de81856da1e6267b6f,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 17:21:24,
5188799d81856da1e622a591,TMALL,可瑞康,,已经买过多次了,5,好评,其他,1,2013-05-01 17:33:10,
51888b9e81856da1e622b70b,TMALL,可瑞康,,好！,5,好评,其他,1,2013-05-01 17:38:50,
5188752f81856da1e62280fa,TMALL,可瑞康,,不错。。一经介绍我这里成代购点了,5,好评,品牌口碑,1,2013-05-01 17:43:12,
5188796581856da1e622a2bb,TMALL,可瑞康,,再来一瓶。。。,5,好评,其他,1,2013-05-01 17:44:13,
51888b9e81856da1e622b70a,TMALL,可瑞康,,还好吧，就是活动太少了,5,好评,价格,1,2013-05-01 17:48:08,
5188741f81856da1e6227798,TMALL,可瑞康,,不好意思确认晚了，一直都是在这里买的奶粉，很好,5,好评,品牌口碑,1,2013-05-01 17:56:48,
518874fb81856da1e6227e96,TMALL,可瑞康,,第N次买了,5,好评,其他,1,2013-05-01 18:00:27,
51888b9e81856da1e622b709,TMALL,可瑞康,,还没吃，物流很快，好的话下次再来,5,好评,其他,1,2013-05-01 18:06:06,
51888b9e81856da1e622b708,TMALL,可瑞康,,刚收到货，就是物流太慢。\n,5,好评,其他,1,2013-05-01 18:07:08,
51888b9e81856da1e622b707,TMALL,可瑞康,,不错，是正品！,5,好评,品牌口碑/品牌问题,2,2013-05-01 18:08:04,
5188796581856da1e622a2b9,TMALL,可瑞康,,和我在香港买的一样\n,5,好评,其他,1,2013-05-01 18:09:00,
5188799d81856da1e622a590,TMALL,可瑞康,,买了好几回了 还不错 没出现什么问题,5,好评,品牌口碑,1,2013-05-01 18:14:40,
51afc3de81856da1e6267b6e,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 18:15:11,
5188799d81856da1e622a58f,TMALL,可瑞康,,一直都在贵店买，有保障，很好,5,好评,品牌口碑/价格,2,2013-05-01 18:16:20,
5188799d81856da1e622a58e,TMALL,可瑞康,,一直吃的,5,好评,品牌口碑,1,2013-05-01 18:18:19,
5188741f81856da1e6227797,TMALL,可瑞康,,东西没问题一直在喝  但是一直也没什么活动 ,5,好评,品牌口碑/价格,2,2013-05-01 18:19:03,
51888b9d81856da1e622b706,TMALL,可瑞康,,还没喝呢，感觉不错，包装很好，没有瘪罐，日期是今年1月分的 ，喝了再来追加,5,好评,物流/品牌口碑,2,2013-05-01 18:19:53,
51888b9d81856da1e622b705,TMALL,可瑞康,,老客户了，一如既往的好。,5,好评,品牌口碑,1,2013-05-01 18:30:16,
518874fb81856da1e6227e95,TMALL,可瑞康,,没有发货单，赠送的杂志还是第一季度的。,5,好评,其他,1,2013-05-01 18:32:06,
5188799d81856da1e622a58d,TMALL,可瑞康,,老客户，囤这。,5,好评,其他,1,2013-05-01 18:33:21,
5188796581856da1e622a2b8,TMALL,可瑞康,,可以,5,好评,其他,1,2013-05-01 18:35:34,
518874fb81856da1e6227e94,TMALL,可瑞康,,从宝宝出生到现在9个月 一直吃这个奶粉！很不错啊！我也推荐了许多身边的人来买！ 我都是直接拍下 基本不联系客服！服务如何不清楚！,5,好评,品牌口碑,1,2013-05-01 18:42:57,
51afa06781856da1e6267a75,TMALL,可瑞康,,此用户没有填写评论!,5,好评,其他,1,2013-05-01 18:52:40,
5188796581856da1e622a2b6,TMALL,可瑞康,,一直在买,5,好评,品牌口碑,1,2013-05-01 19:03:13,
5188799d81856da1e622a58c,TMALL,可瑞康,,可以,4,好评,其他,1,2013-05-01 19:08:15,
51888b9d81856da1e622b704,TMALL,可瑞康,,老来买的，不错,5,好评,品牌口碑,1,2013-05-01 19:10:49,
51888b9d81856da1e622b703,TMALL,可瑞康,,hao,5,好评,其他,1,2013-05-01 19:10:59,
5188752f81856da1e62280f8,TMALL,可瑞康,,是正品，邮费好贵呀，买后才知道，苏宁易购和京东都是免邮费的！,5,好评,品牌问题/价格,2,2013-05-01 19:44:55,
